user_id,event_timestamp,event_name
1,2026-04-13 00:00:00,signup
2,2026-06-29 00:00:00,signup
2,2026-06-29 07:00:00,onboarding_started
2,2026-06-29 11:00:00,onboarding_completed
3,2026-04-03 00:00:00,signup
4,2026-01-15 00:00:00,signup
4,2026-01-15 17:00:00,onboarding_started
4,2026-01-16 02:00:00,onboarding_completed
4,2026-01-16 02:00:00,project_created
4,2026-01-20 02:00:00,report_created
5,2026-04-17 00:00:00,signup
5,2026-04-17 22:00:00,onboarding_started
5,2026-04-18 06:00:00,onboarding_completed
5,2026-04-18 06:00:00,project_created
5,2026-04-21 06:00:00,report_created
6,2026-03-13 00:00:00,signup
6,2026-03-13 11:00:00,onboarding_started
6,2026-03-13 16:00:00,onboarding_completed
6,2026-03-16 16:00:00,project_created
6,2026-03-16 16:00:00,integration_connected
6,2026-03-18 16:00:00,teammate_invited
6,2026-03-19 16:00:00,report_created
7,2026-01-21 00:00:00,signup
7,2026-01-21 22:00:00,onboarding_started
7,2026-01-22 09:00:00,onboarding_completed
7,2026-01-23 09:00:00,project_created
7,2026-01-25 09:00:00,teammate_invited
7,2026-01-27 09:00:00,report_created
8,2026-04-13 00:00:00,signup
8,2026-04-13 21:00:00,onboarding_started
8,2026-04-14 03:00:00,onboarding_completed
8,2026-04-14 03:00:00,project_created
8,2026-04-15 03:00:00,integration_connected
8,2026-04-16 03:00:00,teammate_invited
8,2026-05-15 00:00:00,dashboard_viewed
9,2026-05-02 00:00:00,signup
10,2026-03-16 00:00:00,signup
10,2026-03-16 02:00:00,onboarding_started
11,2026-03-29 00:00:00,signup
11,2026-03-29 12:00:00,onboarding_started
12,2026-04-27 00:00:00,signup
12,2026-04-27 23:00:00,onboarding_started
13,2026-04-10 00:00:00,signup
13,2026-04-10 16:00:00,onboarding_started
14,2026-04-14 00:00:00,signup
14,2026-04-14 13:00:00,onboarding_started
14,2026-04-14 20:00:00,onboarding_completed
14,2026-04-17 20:00:00,project_created
14,2026-04-18 20:00:00,teammate_invited
14,2026-04-22 20:00:00,report_created
14,2026-05-16 00:00:00,dashboard_viewed
15,2026-06-01 00:00:00,signup
15,2026-06-01 13:00:00,onboarding_started
15,2026-06-01 18:00:00,onboarding_completed
16,2026-05-11 00:00:00,signup
16,2026-05-11 20:00:00,onboarding_started
17,2026-05-30 00:00:00,signup
17,2026-05-30 18:00:00,onboarding_started
17,2026-05-31 02:00:00,onboarding_completed
17,2026-06-03 02:00:00,project_created
